first_name,last_name,address,date of birth,city,county,state,zip,phone1,phone2,email,web
Rozella,Ostrosky,17 Morena Blvd,9/09/1975,Camarillo,Ventura,CA,93012,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com,http://www.parkwaycompany.com
Valentine,Gillian,775 W 17th St,10/07/1991,San Antonio,Bexar,TX,78204,210-812-9597,210-300-6244,valentine_gillian@gmail.com,http://www.fbsbusinessfinance.com
Kati,Rulapaugh,6980 Dorsett Rd,4/09/1980,Abilene,Dickinson,KS,67410,785-463-7829,785-219-7724,kati.rulapaugh@hotmail.com,http://www.ederassocsconsltngengrspc.com
Youlanda,Schemmer,2881 Lewis Rd,12/02/1982,Prineville,Crook,OR,97754,541-548-8197,541-993-2611,youlanda@aol.com,http://www.trimtoolinc.com
Dyan,Oldroyd,7219 Woodfield Rd,6/26/1974,Overland Park,Johnson,KS,66204,913-413-4604,913-645-8918,doldroyd@aol.com,http://www.internationaleyeletsinc.com
Roxane,Campain,1048 Main St,4/07/2000,Fairbanks,Fairbanks North Star,AK,99708,907-231-4722,907-335-6568,roxane@hotmail.com,http://www.rapidtradingintl.com
Lavera,Perin,678 3rd Ave,7/31/1986,Miami,Miami-Dade,FL,33196,305-606-7291,305-995-2078,lperin@perin.org,http://www.abcenterprisesinc.com
Erick,Ferencz,20 S Babcock St,12/29/1993,Fairbanks,Fairbanks North Star,AK,99712,907-741-1044,907-227-6777,erick.ferencz@aol.com,http://www.cindyturnerassociates.com
Fatima,Saylors,2 Lighthouse Ave,11/19/1997,Hopkins,Hennepin,MN,55343,952-768-2416,952-479-2375,fsaylors@saylors.org,http://www.stantonjamesdesq.com
Jina,Briddick,38938 Park Blvd,11/23/1970,Boston,Suffolk,MA,2128,617-399-5124,617-997-5771,jina_briddick@briddick.com,http://www.gracepastriesinc.com
Kanisha,Waycott,5 Tomahawk Dr,6/22/1997,Los Angeles,Los Angeles,CA,90006,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com,http://www.schroergeneeesq.com
Emerson,Bowley,762 S Main St,9/16/2001,Madison,Dane,WI,53711,608-336-7444,608-658-7940,emerson.bowley@bowley.org,http://www.knightsinn.com
Blair,Malet,209 Decker Dr,3/25/2002,Philadelphia,Philadelphia,PA,19132,215-907-9111,215-794-4519,bmalet@yahoo.com,http://www.bollingermachshpshipyard.com
Brock,Bolognia,4486 W O St #1,8/11/1971,New York,New York,NY,10003,212-402-9216,212-617-5063,bbolognia@yahoo.com,http://www.orindanews.com
Lorrie,Nestle,39 S 7th St,3/21/1974,Tullahoma,Coffee,TN,37388,931-875-6644,931-303-6041,lnestle@hotmail.com,http://www.ballardspahrandrews.com
Sabra,Uyetake,98839 Hawthorne Blvd #6101,6/16/1983,Columbia,Richland,SC,29201,803-925-5213,803-681-3678,sabra@uyetake.org,http://www.lowylimousineservice.com
Marjory,Mastella,71 San Mateo Ave,1/06/2001,Wayne,Delaware,PA,19087,610-814-5533,610-379-7125,mmastella@mastella.com,http://www.viconcorporation.com
Karl,Klonowski,76 Brooks St #9,11/28/1979,Flemington,Hunterdon,NJ,8822,908-877-6135,908-470-4661,karl_klonowski@yahoo.com,http://www.rossimichaelm.com
Tonette,Wenner,4545 Courthouse Rd,7/07/1993,Westbury,Nassau,NY,11590,516-968-6051,516-333-4861,twenner@aol.com,http://www.northwestpublishing.com
Amber,Monarrez,14288 Foster Ave #4121,9/05/1985,Jenkintown,Montgomery,PA,19046,215-934-8655,215-329-6386,amber_monarrez@monarrez.org,http://www.branfordwiremfgco.com
Shenika,Seewald,4 Otis St,6/23/1971,Van Nuys,Los Angeles,CA,91405,818-423-4007,818-749-8650,shenika@gmail.com,http://www.eastcoastmarketing.com
Delmy,Ahle,65895 S 16th St,12/06/1986,Providence,Providence,RI,2909,401-458-2547,401-559-8961,delmy.ahle@hotmail.com,http://www.wyetechnologiesinc.com
Deeanna,Juhas,14302 Pennsylvania Ave,7/08/1994,Huntingdon Valley,Montgomery,PA,19006,215-211-9589,215-417-9563,deeanna_juhas@gmail.com,http://www.healygeorgewiv.com
Blondell,Pugh,201 Hawk Ct,6/13/1982,Providence,Providence,RI,2904,401-960-8259,401-300-8122,bpugh@aol.com,http://www.alpenliteinc.com
Jamal,Vanausdal,53075 Sw 152nd Ter #615,4/30/1990,Monroe Township,Middlesex,NJ,8831,732-234-1546,732-904-2931,jamal@vanausdal.org,http://www.hubbardbruceesq.com
Cecily,Hollack,59 N Groesbeck Hwy,2/06/2002,Austin,Travis,TX,78731,512-486-3817,512-861-3814,cecily@hollack.org,http://www.arthuraoliversoninc.com
Carmelina,Lindall,2664 Lewis Rd,12/24/1978,Littleton,Douglas,CO,80126,303-724-7371,303-874-5160,carmelina_lindall@lindall.com,http://www.georgejessopcarterjewelers.com
Maurine,Yglesias,59 Shady Ln #53,12/25/1995,Milwaukee,Milwaukee,WI,53214,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com,http://www.schultzthomascmd.com
Tawna,Buvens,3305 Nabell Ave #679,8/05/1982,New York,New York,NY,10009,212-674-9610,212-462-9157,tawna@gmail.com,http://www.hhhenterprisesinc.com
Penney,Weight,18 Fountain St,9/13/1998,Anchorage,Anchorage,AK,99515,907-797-9628,907-873-2882,penney_weight@aol.com,http://www.hawaiiankinghotel.com
Elly,Morocco,7 W 32nd St,11/29/1995,Erie,Erie,PA,16502,814-393-5571,814-420-3553,elly_morocco@gmail.com,http://www.killionindustries.com
Ilene,Eroman,2853 S Central Expy,12/21/1976,Glen Burnie,Anne Arundel,MD,21061,410-914-9018,410-937-4543,ilene.eroman@hotmail.com,http://www.robinsonwilliamjesq.com
Vallie,Mondella,74 W College St,3/15/1979,Boise,Ada,ID,83707,208-862-5339,208-737-8439,vmondella@mondella.com,http://www.privateproperties.com
Kallie,Blackwood,701 S Harrison Rd,9/27/1982,San Francisco,San Francisco,CA,94104,415-315-2761,415-604-7609,kallie.blackwood@gmail.com,http://www.rowleyschlimgeninc.com
Johnetta,Abdallah,1088 Pinehurst St,12/13/1988,Chapel Hill,Orange,NC,27514,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,http://www.forgingspecialties.com
Bobbye,Rhym,30 W 80th St #1995,9/14/1993,San Carlos,San Mateo,CA,94070,650-528-5783,650-811-9032,brhym@rhym.com,http://www.smitspatriciagarity.com
Micaela,Rhymes,20932 Hedley St,12/17/1985,Concord,Contra Costa,CA,94520,925-647-3298,925-522-7798,micaela_rhymes@gmail.com,http://www.hleeleonardattorneyatlaw.com
Tamar,Hoogland,2737 Pistorio Rd #9230,12/01/1980,London,Madison,OH,43140,740-343-8575,740-526-5410,tamar@hotmail.com,http://www.akconstructionco.com
Moon,Parlato,74989 Brandon St,5/11/1982,Wellsville,Allegany,NY,14895,585-866-8313,585-498-4278,moon@yahoo.com,http://www.ambelangjessicammd.com
Laurel,Reitler,6 Kains Ave,2/17/1997,Baltimore,Baltimore City,MD,21215,410-520-4832,410-957-6903,laurel_reitler@reitler.com,http://www.qaservice.com
Delisa,Crupi,47565 W Grand Ave,4/24/2001,Newark,Essex,NJ,7105,973-354-2040,973-847-9611,delisa.crupi@crupi.com,http://www.woodwhitacrecontractors.com
Viva,Toelkes,4284 Dorigo Ln,4/16/1985,Chicago,Cook,IL,60647,773-446-5569,773-352-3437,viva.toelkes@gmail.com,http://www.markivpressltd.com
Elza,Lipke,6794 Lake Dr E,2/20/1982,Newark,Essex,NJ,7104,973-927-3447,973-796-3667,elza@yahoo.com,http://www.museumofscienceindustry.com
Devorah,Chickering,31 Douglas Blvd #950,6/04/1973,Clovis,Curry,NM,88101,505-975-8559,505-950-1763,devorah@hotmail.com,http://www.garrisonind.com
Timothy,Mulqueen,44 W 4th St,4/16/1994,Staten Island,Richmond,NY,10309,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org,http://www.saronixnymphproducts.com
Arlette,Honeywell,11279 Loytan St,2/05/2001,Jacksonville,Duval,FL,32254,904-775-4480,904-514-9918,ahoneywell@honeywell.com,http://www.smcinc.com
Dominque,Dickerson,69 Marquette Ave,9/07/1984,Hayward,Alameda,CA,94545,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org,http://www.eaielectronicassocsinc.com
Lettie,Isenhower,70 W Main St,4/01/1986,Beachwood,Cuyahoga,OH,44122,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com,http://www.contechristopheraesq.com
Myra,Munns,461 Prospect Pl #316,8/02/1980,Euless,Tarrant,TX,76040,817-914-7518,817-451-3518,mmunns@cox.net,http://www.ankerlawoffice.com
Stephaine,Barfield,47154 Whipple Ave Nw,2/24/2002,Gardena,Los Angeles,CA,90247,310-774-7643,310-968-1219,stephaine@barfield.com,http://www.beutelschiescompany.com
Lai,Gato,37 Alabama Ave,6/25/1983,Evanston,Cook,IL,60201,847-728-7286,847-957-4614,lai.gato@gato.org,http://www.fliggkennethijr.com
Stephen,Emigh,3777 E Richmond St #900,1/18/2000,Akron,Summit,OH,44302,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,http://www.sharpjdanielesq.com
Tyra,Shields,3 Fort Worth Ave,3/10/2001,Philadelphia,Philadelphia,PA,19106,215-255-1641,215-228-8264,tshields@gmail.com,http://www.assinkannehesq.com
Tammara,Wardrip,4800 Black Horse Pike,9/03/1978,Burlingame,San Mateo,CA,94010,650-803-1936,650-216-5075,twardrip@cox.net,http://www.jewelmyshopinc.com
Cory,Gibes,83649 W Belmont Ave,10/23/1973,San Gabriel,Los Angeles,CA,91776,626-572-1096,626-696-2777,cory.gibes@gmail.com,http://www.chinesetranslationresources.com
Danica,Bruschke,840 15th Ave,3/23/1996,Waco,McLennan,TX,76708,254-782-8569,254-205-1422,danica_bruschke@gmail.com,http://www.stevenscharlest.com
Wilda,Giguere,1747 Calle Amanecer #2,6/01/1973,Anchorage,Anchorage,AK,99501,907-870-5536,907-914-9482,wilda@cox.net,http://www.mclaughlinlutherwcpa.com
Elvera,Benimadho,99385 Charity St #840,11/15/1972,San Jose,Santa Clara,CA,95110,408-703-8505,408-440-8447,elvera.benimadho@cox.net,http://www.treemusketeers.com
Carma,Vanheusen,68556 Central Hwy,10/31/1982,San Leandro,Alameda,CA,94577,510-503-7169,510-452-4835,carma@cox.net,http://www.springfielddivohedisonco.com
Malinda,Hochard,55 Riverside Ave,4/05/1981,Indianapolis,Marion,IN,46202,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,http://www.loganmemorialhospital.com
Natalie,Fern,7140 University Ave,12/05/1987,Rock Springs,Sweetwater,WY,82901,307-704-8713,307-279-3793,natalie.fern@hotmail.com,http://www.kellycharlesgesq.com
Lisha,Centini,64 5th Ave #1153,6/14/1987,Mc Lean,Fairfax,VA,22102,703-235-3937,703-475-7568,lisha@centini.org,http://www.industrialpapershreddersinc.com
Arlene,Klusman,3 Secor Rd,5/07/1987,New Orleans,Orleans,LA,70112,504-710-5840,504-946-1807,arlene_klusman@gmail.com,http://www.beckhorizonbuilders.com
Alease,Buemi,4 Webbs Chapel Rd,2/25/1987,Boulder,Boulder,CO,80303,303-301-4946,303-521-9860,alease@buemi.com,http://www.portocayoathawkscay.com
Louisa,Cronauer,524 Louisiana Ave Nw,5/20/1982,San Leandro,Alameda,CA,94577,510-828-7047,510-472-7758,louisa@cronauer.com,http://www.pacificgrovemuseumntrlhist.com
Angella,Cetta,185 Blackstone Bldge,3/29/1973,Honolulu,Honolulu,HI,96817,808-892-7943,808-475-2310,angella.cetta@hotmail.com,http://www.benderhatleypc.com
Cyndy,Goldammer,170 Wyoming Ave,6/15/1994,Burnsville,Dakota,MN,55337,952-334-9408,952-938-9457,cgoldammer@cox.net,http://www.dicristinajson.com
Rosio,Cork,4 10th St W,10/16/1974,High Point,Guilford,NC,27263,336-243-5659,336-497-4407,rosio.cork@gmail.com,http://www.greengoddess.com
Celeste,Korando,7 W Pinhook Rd,7/14/1980,Lynbrook,Nassau,NY,11563,516-509-2347,516-365-7266,ckorando@hotmail.com,http://www.americanartsgraphics.com
Twana,Felger,1 Commerce Way,7/20/1990,Portland,Washington,OR,97224,503-939-3153,503-909-7167,twana.felger@felger.org,http://www.oprylandhotel.com
Estrella,Samu,64 Lakeview Ave,10/09/1984,Beloit,Rock,WI,53511,608-976-7199,608-942-8836,estrella@aol.com,http://www.markingdevicespubgco.com
Donte,Kines,3 Aspen St,12/14/1974,Worcester,Worcester,MA,1602,508-429-8576,508-843-1426,dkines@hotmail.com,http://www.wtcindustriesinc.com
Tiffiny,Steffensmeier,32860 Sierra Rd,7/27/1985,Miami,Miami-Dade,FL,33133,305-385-9695,305-304-6573,tiffiny_steffensmeier@cox.net,http://www.whitehallrobbinslabsdivsn.com
Edna,Miceli,555 Main St,2/24/1987,Erie,Erie,PA,16502,814-460-2655,814-299-2877,emiceli@miceli.org,http://www.sampler.com
Sue,Kownacki,2 Se 3rd Ave,10/24/1970,Mesquite,Dallas,TX,75149,972-666-3413,972-742-4000,sue@aol.com,http://www.junochefsincorporated.com
Jesusa,Shin,2239 Shawnee Mission Pky,6/03/1971,Tullahoma,Coffee,TN,37388,931-273-8709,931-739-1551,jshin@shin.com,http://www.carroccioathomasesq.com
Rolland,Francescon,2726 Charcot Ave,7/22/1983,Paterson,Passaic,NJ,7501,973-649-2922,973-284-4048,rolland@cox.net,http://www.stanleyrichardlesq.com
Pamella,Schmierer,5161 Dorsett Rd,9/07/1983,Homestead,Miami-Dade,FL,33030,305-420-8970,305-575-8481,pamella.schmierer@schmierer.org,http://www.kcscstmmouldingswindows.com
Glory,Kulzer,55892 Jacksonville Rd,5/14/1999,Owings Mills,Baltimore,MD,21117,410-224-9462,410-916-8015,gkulzer@kulzer.org,http://www.comfortinn.com
Shawna,Palaspas,5 N Cleveland Massillon Rd,7/05/1994,Thousand Oaks,Ventura,CA,91362,805-275-3566,805-638-6617,shawna_palaspas@palaspas.org,http://www.windsorjameslesq.com
Brandon,Callaro,7 Benton Dr,11/04/1980,Honolulu,Honolulu,HI,96819,808-215-6832,808-240-5168,brandon_callaro@hotmail.com,http://www.jacksonshieldsyeiser.com
Scarlet,Cartan,9390 S Howell Ave,7/26/1994,Albany,Dougherty,GA,31701,229-735-3378,229-365-9658,scarlet.cartan@yahoo.com,http://www.boxjcalvinesq.com
Oretha,Menter,8 County Center Dr #647,1/21/1989,Boston,Suffolk,MA,2210,617-418-5043,617-697-6024,oretha_menter@yahoo.com,http://www.customengineeringinc.com
Ty,Smith,4646 Kaahumanu St,5/03/1981,Hackensack,Bergen,NJ,7601,201-672-1553,201-995-3149,tsmith@aol.com,http://www.breslereitelframggllryltd.com
Xuan,Rochin,2 Monroe St,5/26/1990,San Mateo,San Mateo,CA,94403,650-933-5072,650-247-2625,xuan@gmail.com,http://www.caroldrakesparksesq.com
Lindsey,Dilello,52777 Leaders Heights Rd,1/05/1996,Ontario,San Bernardino,CA,91761,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com,http://www.biltmoreinvestorsbank.com
Devora,Perez,72868 Blackington Ave,9/30/1985,Oakland,Alameda,CA,94606,510-955-3016,510-755-9274,devora_perez@perez.org,http://www.descoequipmentcorp.com
Herman,Demesa,9 Norristown Rd,3/07/1997,Troy,Rensselaer,NY,12180,518-497-2940,518-931-7852,hdemesa@cox.net,http://www.merlinelectricco.com
Rory,Papasergi,83 County Road 437 #8581,1/25/1978,Clarks Summit,Lackawanna,PA,18411,570-867-7489,570-469-8401,rpapasergi@cox.net,http://www.baileycntlcodivbabcock.com
Talia,Riopelle,1 N Harlem Ave #9,11/29/1994,Orange,Essex,NJ,7050,973-245-2133,973-818-9788,talia_riopelle@aol.com,http://www.fordbrotherswholesaleinc.com
Van,Shire,90131 J St,6/26/1975,Pittstown,Hunterdon,NJ,8867,908-409-2890,908-448-1209,van.shire@shire.com,http://www.cambridgeinn.com
Lucina,Lary,8597 W National Ave,10/23/2001,Cocoa,Brevard,FL,32922,321-749-4981,321-632-4668,lucina_lary@cox.net,http://www.matriccianialbertjjr.com
Bok,Isaacs,6 Gilson St,12/03/2001,Bronx,Bronx,NY,10468,718-809-3762,718-478-8568,bok.isaacs@aol.com,http://www.nelsonhawaiianltd.com
Rolande,Spickerman,65 W Maple Ave,12/04/1990,Pearl City,Honolulu,HI,96782,808-315-3077,808-526-5863,rolande.spickerman@spickerman.com,http://www.nelandtravelagency.com
Howard,Paulas,866 34th Ave,9/20/1987,Denver,Denver,CO,80231,303-623-4241,303-692-3118,hpaulas@gmail.com,http://www.asendorfjalanesq.com
Kimbery,Madarang,798 Lund Farm Way,5/22/1995,Rockaway,Morris,NJ,7866,973-310-1634,973-225-6259,kimbery_madarang@cox.net,http://www.silbermanarthurlesq.com
Thurman,Manno,9387 Charcot Ave,7/13/2000,Absecon,Atlantic,NJ,8201,609-524-3586,609-234-8376,thurman.manno@yahoo.com,http://www.honeybeebreedinggenetics.com
Becky,Mirafuentes,30553 Washington Rd,6/11/1988,Plainfield,Union,NJ,7062,908-877-8409,908-426-8272,becky.mirafuentes@mirafuentes.com,http://www.wellskravitzschnitzer.com
Beatriz,Corrington,481 W Lemon St,7/31/1995,Middleboro,Plymouth,MA,2346,508-584-4279,508-315-3867,beatriz@yahoo.com,http://www.prohabrehabilitationservs.com
Marti,Maybury,4 Warehouse Point Rd #7,8/17/1990,Chicago,Cook,IL,60638,773-775-4522,773-539-1058,marti.maybury@yahoo.com,http://www.eldridgekristinkesq.com
Nieves,Gotter,4940 Pulaski Park Dr,6/24/1979,Portland,Multnomah,OR,97202,503-527-5274,503-455-3094,nieves_gotter@gmail.com,http://www.vlahosjohnjesq.com
Leatha,Hagele,627 Walford Ave,5/03/1975,Dallas,Dallas,TX,75227,214-339-1809,214-225-5850,lhagele@cox.net,http://www.ninasindiangrsvideos.com
Valentin,Klimek,137 Pioneer Way,4/08/1978,Chicago,Cook,IL,60604,312-303-5453,312-512-2338,vklimek@klimek.org,http://www.schmidgayannekesq.com
Melissa,Wiklund,61 13 Stoneridge #835,8/17/1981,Findlay,Hancock,OH,45840,419-939-3613,419-254-4591,melissa@cox.net,http://www.moapavalleyfederalcreditun.com
Sheridan,Zane,2409 Alabama Rd,4/07/1985,Riverside,Riverside,CA,92501,951-645-3605,951-248-6822,sheridan.zane@zane.com,http://www.kentuckytennesseeclayco.com
Bulah,Padilla,8927 Vandever Ave,5/04/1989,Waco,McLennan,TX,76707,254-463-4368,254-816-8417,bulah_padilla@hotmail.com,http://www.admiralpartyrentalssales.com
Audra,Kohnert,134 Lewis Rd,11/12/1996,Nashville,Davidson,TN,37211,615-406-7854,615-448-9249,audra@kohnert.com,http://www.nelsonkarolynkingesq.com
Daren,Weirather,9 N College Ave #3,6/22/1988,Milwaukee,Milwaukee,WI,53216,414-959-2540,414-838-3151,dweirather@aol.com,http://www.panasystems.com
Fernanda,Jillson,60480 Old Us Highway 51,8/23/1981,Preston,Caroline,MD,21655,410-387-5260,410-724-6472,fjillson@aol.com,http://www.shankedwardlesq.com
Gearldine,Gellinger,4 Bloomfield Ave,1/16/1986,Irving,Dallas,TX,75061,972-934-6914,972-821-7118,gearldine_gellinger@gellinger.com,http://www.megibowedwards.com
Chau,Kitzman,429 Tiger Ln,9/06/1974,Beverly Hills,Los Angeles,CA,90212,310-560-8022,310-969-7230,chau@gmail.com,http://www.benoffedwardesq.com
Theola,Frey,54169 N Main St,11/12/1981,Massapequa,Nassau,NY,11758,516-948-5768,516-357-3362,theola_frey@frey.com,http://www.woodbridgefreepubliclibrary.com
Cheryl,Haroldson,92 Main St,12/10/1991,Atlantic City,Atlantic,NJ,8401,609-518-7697,609-263-9243,cheryl@haroldson.org,http://www.newyorklifejohnthune.com
Laticia,Merced,72 Mannix Dr,4/07/1986,Cincinnati,Hamilton,OH,45203,513-508-7371,513-418-1566,lmerced@gmail.com,http://www.alinabalinc.com
Carissa,Batman,12270 Caton Center Dr,10/21/1987,Eugene,Lane,OR,97401,541-326-4074,541-801-5717,carissa.batman@yahoo.com,http://www.polettokimdavidesq.com
Lezlie,Craghead,749 W 18th St #45,5/14/1988,Smithfield,Johnston,NC,27577,919-533-3762,919-885-2453,lezlie.craghead@craghead.org,http://www.changcarolynesq.com
Ozell,Shealy,8 Industry Ln,10/15/1993,New York,New York,NY,10002,212-332-8435,212-880-8865,oshealy@hotmail.com,http://www.silverbrosinc.com
Arminda,Parvis,1 Huntwood Ave,1/19/1984,Phoenix,Maricopa,AZ,85017,602-906-9419,602-277-3025,arminda@parvis.com,http://www.newtecinc.com
Reita,Leto,55262 N French Rd,9/25/2001,Indianapolis,Marion,IN,46240,317-234-1135,317-787-5514,reita.leto@gmail.com,http://www.creativebusinesssystems.com
Yolando,Luczki,422 E 21st St,11/20/1981,Syracuse,Onondaga,NY,13214,315-304-4759,315-640-6357,yolando@cox.net,http://www.daltilecorporation.com
Lizette,Stem,501 N 19th Ave,7/28/1998,Cherry Hill,Camden,NJ,8002,856-487-5412,856-702-3676,lizette.stem@aol.com,http://www.edwardskatz.com
Gregoria,Pawlowicz,455 N Main Ave,2/21/1999,Garden City,Nassau,NY,11530,516-212-1915,516-376-4230,gpawlowicz@yahoo.com,http://www.ohmygoodknitsinc.com
Carin,Deleo,1844 Southern Blvd,8/04/1981,Little Rock,Pulaski,AR,72202,501-308-1040,501-409-6072,cdeleo@deleo.com,http://www.redekerdebbie.com
